Name,Mark
Akhilesh,36
Ruchi,85
Bhawna,72
Isha,68
Chetan,31
Neeti,57
Chanchal,46
Preeti,93
Richa,89
Manish,27
Karun,48
Madhur,74
Nitesh,31
Suresh,61
Tina,35
Pooja,10
Sunny,17
Nancy,14
Komal,33
Vipul,81
Meena,36
Diskha,55
Deepak,54
Chinki,69
Chhavi,32
Manisha,95
Priya,68
Seema,60
Suman,17
Bablu,29
Amandeep,96
Ashok Kumar,42
Shashi,58
Neelam,72
Kavita,23
Rupesh,89
Pankhuri,99
Amit,57
Manoj,75
Praveen,35
Karan,26
Raman,70
Naresh Kumar,60
Jhanvi Sehdev,34
Jyoti Sharma,79
Shubhra Prashar,32
Sarang Karwal,20
Abhinandan Kashyap,34
Manoj Khanna,69
Simrat Sehdev,61
Kshitiz Verma,42
Anju Bhandari,25
Gaurav Arora,48
Jyoti Soni,39
Vicky Vishisht,51
Sahil Arora,76
Harpreet Kaur,67
Bulbul Diwedi,31
Amandeep Singh,70
Balbir Gurjit,69
Yogesh Sahgal,76
Harvinder Kaur,98
Bunty Singh,45
Gifty Verma,88
Kanan Mehta,60
Amarjeet Prashar,100
Kusum Aggarwal,43
Mamta Bajaj,50
Kanchan Diwedi,98
Ashwani Diwedi,82
Kajal Yadav,88
Madal Lal,88
Narinder Tandon,86
Kasim Ansari,30
Avadhesh Kumar Singh,34
Shailja Arora,77
Nisha Bagga,21
Akshay Verma,98
Surinder Verma,80
Ankita Prateek Sehdev,71
Bal Mukand,89
Adbhut Gupta,33
Meenakshi Aggarwal,65
Prabhjot Gogna,92
Naresh Verma,91
Manisha Grover,23
Chhaya Dadhwal,15
Rachit Gambhir,70
Himanshu Diwedi,10
Dimple Rajiwal,19
Rahul Diwedi,77
Jyoti Mainh,29
Pooja Ghalawat,16
Anu Verma,31
Raghuveer Tandon,17
Raman Kanda,69
Yogesh Verma,85
Nisha Davinder Verma,86
Anil Verma,88
Devinder Kaur,73
Neharika Vasudev,36
Indu Verma,16
Kulvinder Singh,92
Vishav Sehajpal,35
Nitin Arora,96
Asha Kanda,80
Sonia Verma,88
Sharry Singh,13
Subhash Bansal,15
Avmeet Singh,97
Dikshita Goel,40
Gokulesh Gupta,39
Ravi Verma,63
Khushboo Ayush Sharma,43
Hemat Kumar,85
Richa Dhawan,75
Muskan Ghuman,52
Jyoti Diwedi,97
Anil Kumar,84
Raj Kumar,56
